domain,prompt_id,context_position,top_k,temperature_ratio,seed,moment4_tail_tv,moment4_partition_abs_error,moment4_certificate_bound,moment4_certificate_relative_to_true_partition,moment4_bound_to_error_ratio,uniform_tail_tv,moment4_certified,sample6_tail_tv,cache_budget_bytes
ordinary,1,13,32,0.9,20260924,0.000979924424543,0.000801687895337,0.0375643819571,1.4646024704,46.8566169739,0.0156866689702,1,0.0322323615081,24
ordinary,1,13,32,0.9,20260925,0.000979924424543,0.000801687895337,0.0375643819571,1.4646024704,46.8566169739,0.0156866689702,1,0.0305101198938,24
ordinary,1,13,32,0.9,20260926,0.000979924424543,0.000801687895337,0.0375643819571,1.4646024704,46.8566169739,0.0156866689702,1,0.0324241311096,24
ordinary,1,13,32,1.1,20260924,0.000308984196713,0.000447808814494,0.00711343390867,0.0470713078976,15.884979248,0.0639588517394,1,0.113336381925,24
ordinary,1,13,32,1.1,20260925,0.000308984196713,0.000447808814494,0.00711343390867,0.0470713078976,15.884979248,0.0639588517394,1,0.0915008037506,24
ordinary,1,13,32,1.1,20260926,0.000308984196713,0.000447808814494,0.00711343390867,0.0470713078976,15.884979248,0.0639588517394,1,0.117791759492,24
ordinary,1,18,8,0.9,20260924,0.00173019575079,0.00219173203774,0.105517715216,0.335415571928,48.1435317993,0.176058168254,1,0.527220568966,24
ordinary,1,18,8,0.9,20260925,0.00173019575079,0.00219173203774,0.105517715216,0.335415571928,48.1435317993,0.176058168254,1,0.526904938069,24
ordinary,1,18,8,0.9,20260926,0.00173019575079,0.00219173203774,0.105517715216,0.335415571928,48.1435317993,0.176058168254,1,0.527022039341,24
ordinary,1,18,8,1.1,20260924,0.000232878051233,0.00116363077195,0.0197955220938,0.0181685592979,17.0118579865,0.105956543521,1,0.676760744157,24
ordinary,1,18,8,1.1,20260925,0.000232878051233,0.00116363077195,0.0197955220938,0.0181685592979,17.0118579865,0.105956543521,1,0.671158444661,24
ordinary,1,18,8,1.1,20260926,0.000232878051233,0.00116363077195,0.0197955220938,0.0181685592979,17.0118579865,0.105956543521,1,0.67209404589,24
ordinary,1,18,32,0.9,20260924,0.00267331909489,0.00212898263859,0.102798506618,0.694264292717,48.2852706909,0.0972480903763,1,0.246262972031,24
ordinary,1,18,32,0.9,20260925,0.00267331909489,0.00212898263859,0.102798506618,0.694264292717,48.2852706909,0.0972480903763,1,0.244072800462,24
ordinary,1,18,32,0.9,20260926,0.00267331909489,0.00212898263859,0.102798506618,0.694264292717,48.2852706909,0.0972480903763,1,0.24809116229,24
ordinary,1,18,32,1.1,20260924,0.000404040740185,0.00113676107888,0.0192853156477,0.027943033725,16.9651451111,0.117121308766,1,0.408048976769,24
ordinary,1,18,32,1.1,20260925,0.000404040740185,0.00113676107888,0.0192853156477,0.027943033725,16.9651451111,0.117121308766,1,0.387201107163,24
ordinary,1,18,32,1.1,20260926,0.000404040740185,0.00113676107888,0.0192853156477,0.027943033725,16.9651451111,0.117121308766,1,0.427829286248,24
ordinary,1,22,8,0.9,20260924,0.00142669897129,0.00121398170461,0.0517713464797,0.6001111269,42.645904541,0.0561037744244,1,0.071872131645,24
ordinary,1,22,8,0.9,20260925,0.00142669897129,0.00121398170461,0.0517713464797,0.6001111269,42.645904541,0.0561037744244,1,0.111960108408,24
ordinary,1,22,8,0.9,20260926,0.00142669897129,0.00121398170461,0.0517713464797,0.6001111269,42.645904541,0.0561037744244,1,0.108100849915,24
ordinary,1,22,8,1.1,20260924,0.000356735893574,0.000661097352959,0.00995116773993,0.0266636870801,15.0524997711,0.122600483572,1,0.00855746123919,24
ordinary,1,22,8,1.1,20260925,0.000356735893574,0.000661097352959,0.00995116773993,0.0266636870801,15.0524997711,0.122600483572,1,0.241648147606,24
ordinary,1,22,8,1.1,20260926,0.000356735893574,0.000661097352959,0.00995116773993,0.0266636870801,15.0524997711,0.122600483572,1,0.206697251659,24
ordinary,1,22,32,0.9,20260924,0.00145365048686,0.00115405891937,0.0494565777481,1.28379607201,42.8544616699,0.0230508060463,1,0.0480176138762,24
ordinary,1,22,32,0.9,20260925,0.00145365048686,0.00115405891937,0.0494565777481,1.28379607201,42.8544616699,0.0230508060463,1,0.0512156055324,24
ordinary,1,22,32,0.9,20260926,0.00145365048686,0.00115405891937,0.0494565777481,1.28379607201,42.8544616699,0.0230508060463,1,0.0511168177886,24
ordinary,1,22,32,1.1,20260924,0.000393455623332,0.000634482061089,0.00950621254742,0.0414202101529,14.9826335907,0.0769862518592,1,0.130917638538,24
ordinary,1,22,32,1.1,20260925,0.000393455623332,0.000634482061089,0.00950621254742,0.0414202101529,14.9826335907,0.0769862518592,1,0.171432999674,24
ordinary,1,22,32,1.1,20260926,0.000393455623332,0.000634482061089,0.00950621254742,0.0414202101529,14.9826335907,0.0769862518592,1,0.169108249664,24
ordinary,1,26,8,0.9,20260924,0.000492766864924,0.000445069047981,0.0269965827465,0.206566661596,60.6570663452,0.097095832838,1,0.175606312986,24
ordinary,1,26,8,0.9,20260925,0.000492766864924,0.000445069047981,0.0269965827465,0.206566661596,60.6570663452,0.097095832838,1,0.175607163062,24
ordinary,1,26,8,0.9,20260926,0.000492766864924,0.000445069047981,0.0269965827465,0.206566661596,60.6570663452,0.097095832838,1,0.175591593192,24
ordinary,1,26,8,1.1,20260924,0.000130241137671,0.000240178187779,0.00486152619123,0.0127890948206,20.2413311005,0.166859108941,1,0.289619346783,24
ordinary,1,26,8,1.1,20260925,0.000130241137671,0.000240178187779,0.00486152619123,0.0127890948206,20.2413311005,0.166859108941,1,0.289645178382,24
ordinary,1,26,8,1.1,20260926,0.000130241137671,0.000240178187779,0.00486152619123,0.0127890948206,20.2413311005,0.166859108941,1,0.289304804342,24
ordinary,1,26,32,0.9,20260924,0.000502417147076,0.000383203753967,0.0236125439405,1.32926380634,61.6187667847,0.012845993508,1,0.0237923029672,24
